young_count,old_count,beat_id_full,weather_condition_full,quarter_full,ratio_young_old_FINAL
18,209,1531,CLEAR,1,8.6124401913875603E-2
17,198,1532,CLEAR,1,8.5858585858585856E-2
43,433,1533,CLEAR,1,9.9307159353348731E-2
26,270,1611,CLEAR,1,9.6296296296296297E-2
29,225,1612,CLEAR,1,0.12888888888888889
41,205,1613,CLEAR,1,0.20000000000000001
18,238,1614,CLEAR,1,7.5630252100840331E-2
35,367,1621,CLEAR,1,9.5367847411444148E-2
79,512,1622,CLEAR,1,0.154296875
50,490,1623,CLEAR,1,0.10204081632653061
31,291,1624,CLEAR,1,0.10652920962199312
46,311,1631,CLEAR,1,0.14790996784565916
34,330,1632,CLEAR,1,0.10303030303030303
31,387,1633,CLEAR,1,8.0103359173126609E-2
23,271,1634,CLEAR,1,8.4870848708487087E-2
3,56,1651,CLEAR,1,5.3571428571428568E-2
,25,1654,CLEAR,1,0
,2,1655,CLEAR,1,0
48,492,1711,CLEAR,1,9.7560975609756101E-2
56,464,1712,CLEAR,1,0.1206896551724138
26,176,1713,CLEAR,1,0.14772727272727273
36,450,1722,CLEAR,1,8.0000000000000002E-2
26,305,1723,CLEAR,1,8.5245901639344257E-2
21,281,1724,CLEAR,1,7.4733096085409248E-2
40,327,1731,CLEAR,1,0.12232415902140673
38,408,1732,CLEAR,1,9.3137254901960786E-2
32,425,1733,CLEAR,1,7.5294117647058817E-2
9,275,1811,CLEAR,1,0.03272727272727273
15,180,1812,CLEAR,1,8.3333333333333329E-2
6,177,1813,CLEAR,1,3.3898305084745763E-2
21,445,1814,CLEAR,1,4.7191011235955059E-2
13,241,1821,CLEAR,1,5.3941908713692949E-2
18,425,1822,CLEAR,1,4.2352941176470586E-2
8,154,1823,CLEAR,1,5.1948051948051951E-2
18,479,1824,CLEAR,1,3.7578288100208766E-2
27,1241,1831,CLEAR,1,2.1756647864625302E-2
36,601,1832,CLEAR,1,5.9900166389351084E-2
31,631,1833,CLEAR,1,4.9128367670364499E-2
62,1266,1834,CLEAR,1,4.8973143759873619E-2
47,445,1911,CLEAR,1,0.10561797752808989
16,241,1912,CLEAR,1,6.6390041493775934E-2
11,127,1913,CLEAR,1,8.6614173228346455E-2
15,168,1914,CLEAR,1,8.9285714285714288E-2
17,194,1915,CLEAR,1,8.7628865979381437E-2
47,307,1921,CLEAR,1,0.15309446254071662
19,301,1922,CLEAR,1,6.3122923588039864E-2
12,152,1923,CLEAR,1,7.8947368421052627E-2
6,153,1924,CLEAR,1,3.9215686274509803E-2
16,364,1925,CLEAR,1,4.3956043956043959E-2
18,315,1931,CLEAR,1,5.7142857142857141E-2
17,228,1932,CLEAR,1,7.4561403508771926E-2
3,163,1933,CLEAR,1,1.8404907975460124E-2
9,271,1934,CLEAR,1,3.3210332103321034E-2
20,300,1935,CLEAR,1,6.6666666666666666E-2
37,419,2011,CLEAR,1,0.0883054892601432
20,368,2012,CLEAR,1,0.05434782608695652
35,269,2013,CLEAR,1,0.13011152416356878
11,298,2022,CLEAR,1,3.6912751677852351E-2
13,112,2023,CLEAR,1,0.11607142857142858
6,153,2024,CLEAR,1,3.9215686274509803E-2
21,211,2031,CLEAR,1,9.9526066350710901E-2
7,162,2032,CLEAR,1,4.3209876543209874E-2
9,141,2033,CLEAR,1,6.3829787234042548E-2
71,367,2211,CLEAR,1,0.19346049046321526
49,366,2212,CLEAR,1,0.13387978142076504
29,305,2213,CLEAR,1,9.5081967213114751E-2
38,293,2221,CLEAR,1,0.12969283276450511
22,150,2222,CLEAR,1,0.14666666666666667
37,301,2223,CLEAR,1,0.12292358803986711
32,275,2232,CLEAR,1,0.11636363636363636
6,154,2233,CLEAR,1,0.03896103896103896
24,248,2234,CLEAR,1,9.6774193548387094E-2
34,538,2411,CLEAR,1,6.3197026022304828E-2
36,395,2412,CLEAR,1,9.1139240506329114E-2
50,658,2413,CLEAR,1,0.07598784194528875
5,132,2422,CLEAR,1,0.03787878787878788
6,124,2423,CLEAR,1,4.8387096774193547E-2
6,207,2424,CLEAR,1,2.8985507246376812E-2
5,80,2431,CLEAR,1,0.0625
35,363,2432,CLEAR,1,9.6418732782369149E-2
34,408,2433,CLEAR,1,8.3333333333333329E-2
36,234,2511,CLEAR,1,0.15384615384615385
38,478,2512,CLEAR,1,7.9497907949790794E-2
19,176,2513,CLEAR,1,0.10795454545454546
23,353,2514,CLEAR,1,6.5155807365439092E-2
39,360,2515,CLEAR,1,0.10833333333333334
43,418,2521,CLEAR,1,0.10287081339712918
22,247,2522,CLEAR,1,8.9068825910931168E-2
21,253,2523,CLEAR,1,8.3003952569169967E-2
22,257,2524,CLEAR,1,8.5603112840466927E-2
13,156,2525,CLEAR,1,8.3333333333333329E-2
12,187,2531,CLEAR,1,6.4171122994652413E-2
21,164,2532,CLEAR,1,0.12804878048780488
48,568,2533,CLEAR,1,8.4507042253521125E-2
29,330,2534,CLEAR,1,8.7878787878787876E-2
22,204,2535,CLEAR,1,0.10784313725490197
,11,111,CLOUDY/OVERCAST,1,0
,10,112,CLOUDY/OVERCAST,1,0
,11,113,CLOUDY/OVERCAST,1,0
,27,114,CLOUDY/OVERCAST,1,0
3,28,121,CLOUDY/OVERCAST,1,0.10714285714285714
3,38,122,CLOUDY/OVERCAST,1,7.8947368421052627E-2
1,15,123,CLOUDY/OVERCAST,1,6.6666666666666666E-2
1,16,124,CLOUDY/OVERCAST,1,0.0625
4,25,131,CLOUDY/OVERCAST,1,0.16
4,9,132,CLOUDY/OVERCAST,1,0.44444444444444442
1,6,133,CLOUDY/OVERCAST,1,0.16666666666666666
,8,211,CLOUDY/OVERCAST,1,0
,5,212,CLOUDY/OVERCAST,1,0
,9,213,CLOUDY/OVERCAST,1,0
,2,214,CLOUDY/OVERCAST,1,0
,5,215,CLOUDY/OVERCAST,1,0
,4,221,CLOUDY/OVERCAST,1,0
,13,222,CLOUDY/OVERCAST,1,0
,3,223,CLOUDY/OVERCAST,1,0
9,4,225,CLOUDY/OVERCAST,1,2.25
,1,231,CLOUDY/OVERCAST,1,0
1,5,232,CLOUDY/OVERCAST,1,0.20000000000000001
2,10,233,CLOUDY/OVERCAST,1,0.20000000000000001
2,4,234,CLOUDY/OVERCAST,1,0.5
,6,235,CLOUDY/OVERCAST,1,0
,5,311,CLOUDY/OVERCAST,1,0
,11,312,CLOUDY/OVERCAST,1,0
1,4,313,CLOUDY/OVERCAST,1,0.25
,7,314,CLOUDY/OVERCAST,1,0
3,16,321,CLOUDY/OVERCAST,1,0.1875
,3,322,CLOUDY/OVERCAST,1,0
,12,323,CLOUDY/OVERCAST,1,0
2,13,324,CLOUDY/OVERCAST,1,0.15384615384615385
5,29,331,CLOUDY/OVERCAST,1,0.17241379310344829
,11,332,CLOUDY/OVERCAST,1,0
,2,333,CLOUDY/OVERCAST,1,0
1,7,334,CLOUDY/OVERCAST,1,0.14285714285714285
3,22,411,CLOUDY/OVERCAST,1,0.13636363636363635
,14,412,CLOUDY/OVERCAST,1,0
,4,413,CLOUDY/OVERCAST,1,0
,5,414,CLOUDY/OVERCAST,1,0
2,11,421,CLOUDY/OVERCAST,1,0.18181818181818182
,5,422,CLOUDY/OVERCAST,1,0
,4,423,CLOUDY/OVERCAST,1,0
2,3,424,CLOUDY/OVERCAST,1,0.66666666666666663
1,9,431,CLOUDY/OVERCAST,1,0.1111111111111111
,4,432,CLOUDY/OVERCAST,1,0
1,2,433,CLOUDY/OVERCAST,1,0.5
4,6,434,CLOUDY/OVERCAST,1,0.66666666666666663
,3,511,CLOUDY/OVERCAST,1,0
,3,512,CLOUDY/OVERCAST,1,0
