date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20180424,24,4,2018,2,Tuesday,17,0,0
20180423,23,4,2018,2,Monday,17,0,0
20180422,22,4,2018,2,Sunday,16,1,0
20180421,21,4,2018,2,Saturday,16,1,0
20180420,20,4,2018,2,Friday,16,0,0
20180419,19,4,2018,2,Thursday,16,0,0
20180418,18,4,2018,2,Wednesday,16,0,0
20180417,17,4,2018,2,Tuesday,16,0,0
20180416,16,4,2018,2,Monday,16,0,0
20180415,15,4,2018,2,Sunday,15,1,0
20180414,14,4,2018,2,Saturday,15,1,0
20180413,13,4,2018,2,Friday,15,0,0
20180412,12,4,2018,2,Thursday,15,0,0
20180411,11,4,2018,2,Wednesday,15,0,0
20180410,10,4,2018,2,Tuesday,15,0,0
20180409,9,4,2018,2,Monday,15,0,0
20180408,8,4,2018,2,Sunday,14,1,0
20180407,7,4,2018,2,Saturday,14,1,0
20180406,6,4,2018,2,Friday,14,0,0
20180405,5,4,2018,2,Thursday,14,0,0
20180404,4,4,2018,2,Wednesday,14,0,0
20180403,3,4,2018,2,Tuesday,14,0,0
20180402,2,4,2018,2,Monday,14,0,0
20180401,1,4,2018,2,Sunday,13,1,0
20180331,31,3,2018,1,Saturday,13,1,0
20180330,30,3,2018,1,Friday,13,0,0
20180329,29,3,2018,1,Thursday,13,0,0
20180328,28,3,2018,1,Wednesday,13,0,0
20180327,27,3,2018,1,Tuesday,13,0,0
20180326,26,3,2018,1,Monday,13,0,0
20180325,25,3,2018,1,Sunday,12,1,0
20180324,24,3,2018,1,Saturday,12,1,0
20180323,23,3,2018,1,Friday,12,0,0
20180322,22,3,2018,1,Thursday,12,0,0
20180321,21,3,2018,1,Wednesday,12,0,0
20180320,20,3,2018,1,Tuesday,12,0,0
20180319,19,3,2018,1,Monday,12,0,0
20180318,18,3,2018,1,Sunday,11,1,0
20180317,17,3,2018,1,Saturday,11,1,0
20180316,16,3,2018,1,Friday,11,0,0
20180315,15,3,2018,1,Thursday,11,0,0
20180314,14,3,2018,1,Wednesday,11,0,0
20180313,13,3,2018,1,Tuesday,11,0,0
20180312,12,3,2018,1,Monday,11,0,0
20180311,11,3,2018,1,Sunday,10,1,0
20180310,10,3,2018,1,Saturday,10,1,0
20180309,9,3,2018,1,Friday,10,0,0
20180308,8,3,2018,1,Thursday,10,0,0
20180307,7,3,2018,1,Wednesday,10,0,0
20180306,6,3,2018,1,Tuesday,10,0,0
20180305,5,3,2018,1,Monday,10,0,0
20180304,4,3,2018,1,Sunday,9,1,0
20180303,3,3,2018,1,Saturday,9,1,0
